ASIN,end_time,product_name,reading_marketplace,start_time,total_reading_milliseconds
B002RI9176,2025-09-08T17:40:04.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T17:32:04.900Z,479500
B002RI9176,2025-09-08T17:29:00.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T17:28:55.900Z,4500
B002RI9176,2025-09-08T17:27:45.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T17:27:35.400Z,10300
B002RI9176,2025-09-08T17:01:01.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T16:59:56.900Z,64500
B002RI9176,2025-09-08T16:59:27.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T16:59:16.500Z,11200
B00A3D1HAQ,2025-09-08T03:44:11.300Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-08T03:29:53.400Z,857900
B002RI9176,2025-09-08T03:17:50.500Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T03:16:58.800Z,51700
B00A3D1HAQ,2025-09-08T03:29:14.400Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-08T03:09:11.800Z,1202600
B002RI9176,2025-09-08T03:16:57.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T03:00:26.700Z,990500
B002RI9176,2025-09-08T02:59:59.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T02:56:16.800Z,222400
B002RI9176,2025-09-08T01:13:48.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T01:12:23.100Z,85100
B002RI9176,2025-09-08T01:07:52.300Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-08T01:07:42.200Z,10100
B002RI9176,2025-09-07T23:27:10.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-07T23:27:08.700Z,2200
B002RI9176,2025-09-07T23:26:27Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-07T23:26:06.800Z,20200
B002RI9176,2025-09-07T22:53:00.800Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-07T22:33:32.400Z,1168400
B002RI9176,2025-09-07T22:28:08.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-07T22:03:21.300Z,1487100
B002RI9176,2025-09-07T21:21:14.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-07T21:14:07.300Z,427400
B002RI9176,2025-09-07T21:13:24Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-07T21:01:02.200Z,741800
B002RI9176,2025-09-07T21:00:25.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-07T20:56:01.800Z,263600
B002RI9176,2025-09-07T20:49:49.700Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-07T20:43:35.500Z,374200
B00A3D1HAQ,2025-09-07T11:20:11.700Z,A esperança (Jogos Vorazes Livro 3) (Portuguese Edition),www.amazon.com.br,2025-09-07T11:20:09.300Z,2400
